temporizzazioni DGmtB03P

p1G#1:  00:00.851 - 00:06.597
p2G#98:  05:04.862 - 05:16.442
p1F#99:  05:08.417 - 05:17.097
p2G#100:  05:16.917 - 05:30.696
p1F#101:  05:17.694 - 05:32.813
p2G#102:  05:32.664 - 05:33.226
p1F#103:  05:32.953 - 05:34.102
p2G#104:  05:34.120 - 05:36.177
p1F#105:  05:35.989 - 05:36.485
p2G#106:  05:36.616 - 05:39.765
p1F#107:  05:40.605 - 05:41.093
p2G#108:  05:40.911 - 05:45.767
p1F#109:  05:41.516 - 05:48.414
p2G#110:  05:48.083 - 06:01.394
p1F#111:  06:02.110 - 06:03.126
p2G#112:  06:02.713 - 06:03.977
p1F#113:  06:03.903 - 06:04.515
p2G#114:  06:04.239 - 06:13.169
p1F#115:  06:13.021 - 06:14.152
p2G#116:  06:15.288 - 06:19.946
p1F#117:  06:19.095 - 06:23.800
p2G#118:  06:21.123 - 06:25.395
p1F#119:  06:24.924 - 06:26.246
p2G#120:  06:26.498 - 06:28.994
p1F#121:  06:30.336 - 06:30.774
p2G#122:  06:30.947 - 06:31.774
p1F#123:  06:32.016 - 06:32.974
p2G#124:  06:33.124 - 06:48.571
p1F#125:  06:48.605 - 06:49.175
p2G#126:  06:48.998 - 06:53.565
p1F#127:  06:51.245 - 06:54.059
p2G#128:  06:54.450 - 07:00.267
p1F#129:  07:00.267 - 07:00.878
p2G#130:  07:00.998 - 07:15.903
p1F#131:  07:11.056 - 07:16.084
p2G#132:  07:16.066 - 07:17.174
p1F#133:  07:16.827 - 07:17.488
p2G#134:  07:17.207 - 07:21.763
p1F#135:  07:21.352 - 07:21.848
p2G#136:  07:21.676 - 07:34.962
p1F#137:  07:33.299 - 07:35.515
p2G#138:  07:35.300 - 07:39.891
p1F#139:  07:42.681 - 07:44.219
p2G#140:  07:43.442 - 08:05.319
p1F#141:  07:52.685 - 08:06.444
p2G#142:  08:06.130 - 08:11.596
p1F#143:  08:08.793 - 08:13.704
p2G#144:  08:12.985 - 08:17.700
p1F#145:  08:14.906 - 08:18.283
